DEBUG 2024-09-28 01:52:51,311 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\email\quoprimime.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,312 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\redis\exceptions.py first seen with mtime 1727420000.3513317
DEBUG 2024-09-28 01:52:51,313 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\email\mime\message.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,315 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\numbers.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,315 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\rest_framework\status.py first seen with mtime 1727419965.6797304
DEBUG 2024-09-28 01:52:51,316 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1727419938.549307
DEBUG 2024-09-28 01:52:51,317 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1727419941.825657
DEBUG 2024-09-28 01:52:51,317 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1727419941.3116593
DEBUG 2024-09-28 01:52:51,318 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\utils\http.py first seen with mtime 1727419942.085658
DEBUG 2024-09-28 01:52:51,319 autoreload File C:\Users\Jairuddin\AppData\Local\Programs\Python\Python311\Lib\types.py first seen with mtime 1686097818.0
DEBUG 2024-09-28 01:52:51,319 autoreload File E:\New folder (2)\Inventory Management System\venv\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1727419941.5436568
